Date,Platform,CTR (%),Impressions,Likes,Shares,Comments,Sales Revenue ($),Conversion Rate (%),Ad Spend ($),ROI (%),Positive Sentiment (%),Neutral Sentiment (%),Negative Sentiment (%)
2022-01-06,LinkedIn Ads,3.24,166794,1669,1721,2560,43190.23,1.65,17993.84,140.03,56,24,20
2022-01-06,TikTok Ads,2.19,239712,6163,136,1521,47801.05,11.15,6823.16,600.57,65,22,13
2022-01-07,Google Ads,3.2,6501,5808,1537,1406,68388.23,10.29,13150.54,420.04,47,45,8
2022-01-07,Facebook Ads,2.66,448230,9984,2342,1671,30128.9,11.31,10474.26,187.65,40,42,18
2022-01-07,Instagram Ads,4.79,317308,8472,2387,785,70117.87,5.2,3125.49,2143.42,51,42,7
2022-01-07,Twitter Ads,3.38,247665,3239,2036,2464,91929.7,12.66,40415.82,127.46,42,39,19
2022-01-07,LinkedIn Ads,3.54,494159,3740,1475,784,1533.67,1.56,17107.52,-91.04,59,29,12
2022-01-07,TikTok Ads,4.65,499379,9227,188,590,9006.73,1.85,49412.42,-81.77,49,43,8
2022-01-08,Google Ads,4.42,471489,2521,1310,2200,44892.04,14.88,47763.98,-6.01,43,38,19
2022-01-08,Facebook Ads,4.61,492279,9299,2867,420,64815.6,14.2,26181.62,147.56,66,29,5
2022-01-08,Instagram Ads,4.18,412118,743,2634,2946,6055.75,2.34,9172.52,-33.98,62,38,0
2022-01-08,Twitter Ads,4.58,456227,4728,4524,666,59044.31,11.3,7177.06,722.68,61,42,-3
2022-01-08,LinkedIn Ads,4.93,112380,2654,676,2795,40661.24,10.22,5218.92,679.11,48,45,7
2022-01-08,TikTok Ads,3.73,296347,8002,603,2613,68450.9,3.52,39582.96,72.93,60,36,4
2022-01-09,Google Ads,3.46,462495,9482,3184,1572,64938.48,13.71,16733.79,288.07,45,47,8
2022-01-09,Facebook Ads,4.15,8518,1208,996,2541,57401.14,14.53,15154.47,278.77,45,24,31
2022-01-09,Instagram Ads,2.1,247283,7798,3893,380,63086.17,7.39,17272.15,265.25,40,37,23
2022-01-09,Twitter Ads,4.34,391899,8166,1938,2424,31401.06,2.81,2121.34,1380.25,51,26,23
2022-01-09,LinkedIn Ads,2.05,25589,7614,1762,989,2600.21,7.68,23479.88,-88.93,65,45,-10
2022-01-09,TikTok Ads,1.56,261691,5544,3215,1728,60325.16,13.71,3134.79,1824.38,59,49,-8
2022-01-10,Google Ads,4.76,377507,6463,1837,2310,86642.42,4.64,43875.59,97.47,62,24,14
2022-01-10,Facebook Ads,4.35,183104,2578,4995,1172,96158.08,9.51,13730.22,600.34,43,49,8
2022-01-10,Instagram Ads,0.82,346711,2716,2977,2610,69340.85,5.04,28202.6,145.87,56,42,2
2022-01-10,Twitter Ads,0.54,472787,8381,778,2906,51970.42,14.37,45597.03,13.98,62,31,7
2022-01-10,LinkedIn Ads,4.47,474197,2731,2353,1251,86502.35,13.82,8851.78,877.23,40,32,28
2022-01-10,TikTok Ads,2.76,285755,592,2383,2329,11948.97,9.44,18347.43,-34.87,49,32,19
2022-01-11,Google Ads,1.12,203681,2392,1119,945,1827.73,10.1,35502.02,-94.85,52,30,18
2022-01-11,Facebook Ads,1.87,309374,7731,2250,2272,51957.46,8.8,3214.47,1516.36,59,36,5
2022-01-11,Instagram Ads,4.11,101414,545,953,2272,39440.46,0.84,24847.75,58.73,60,29,11
2022-01-11,Twitter Ads,1.6,450977,6558,2106,51,98305.52,10.19,4872.83,1917.42,47,46,7
2022-01-11,LinkedIn Ads,3.86,465663,3448,4874,404,34089.51,14.36,38552.28,-11.58,63,47,-10
2022-01-11,TikTok Ads,3.41,307812,8719,3280,208,20969.29,14.28,21967.11,-4.54,46,45,9
2022-01-12,Google Ads,0.62,455589,7744,4931,468,30240.56,2.31,44816.79,-32.52,50,42,8
2022-01-12,Facebook Ads,0.66,350281,2068,1549,1727,51354.68,3.55,8266.19,521.26,66,20,14
2022-01-12,Instagram Ads,4.2,372291,4310,1903,508,11880.56,2.65,20328.89,-41.56,43,39,18
2022-01-12,Twitter Ads,1.78,52324,5704,905,2693,71655.01,9.05,10312.93,594.81,68,44,-12
2022-01-12,LinkedIn Ads,3.66,416439,8465,2206,2413,58661.33,9.92,48518.67,20.9,42,49,9
2022-01-12,TikTok Ads,3.08,414929,4472,3665,2349,77248.8,0.56,535.73,14319.35,68,39,-7
2022-01-13,Google Ads,1.21,258081,670,1448,2309,66540.52,11.57,17785.78,274.12,40,32,28
2022-01-13,Facebook Ads,2.32,302911,8745,2258,1200,78108.94,14.19,1281.36,5995.78,65,28,7
2022-01-13,Instagram Ads,1.0,354407,3437,3378,2795,12071.08,9.44,38222.51,-68.42,60,28,12
2022-01-13,Twitter Ads,2.95,168929,789,3219,383,16834.57,12.73,22198.1,-24.16,68,31,1
2022-01-13,LinkedIn Ads,0.91,18670,3134,1695,2178,41062.79,1.3,15923.13,157.88,68,20,12
2022-01-13,TikTok Ads,1.51,334804,8868,1482,2167,36103.5,2.05,19541.72,84.75,69,49,-18
2022-01-14,Google Ads,0.56,279299,6203,628,1133,45254.44,11.89,19390.93,133.38,54,20,26
2022-01-14,Facebook Ads,4.01,5622,3624,524,700,2074.83,4.11,48011.23,-95.68,55,25,20
2022-01-14,Instagram Ads,2.15,318397,561,1482,2763,92695.4,5.38,18043.73,413.73,42,43,15
2022-01-14,Twitter Ads,0.58,468468,5459,1471,1789,30096.38,12.52,34756.55,-13.41,64,48,-12
2022-01-14,LinkedIn Ads,1.58,7188,7515,2625,2639,3053.35,9.33,1392.27,119.31,58,20,22
2022-01-14,TikTok Ads,4.48,172690,2118,2031,112,84036.48,9.03,3746.97,2142.78,50,37,13
2022-01-15,Google Ads,1.55,75219,2025,4609,2941,62040.32,4.05,19760.3,213.96,61,27,12
2022-01-15,Facebook Ads,4.87,414208,1296,1209,2060,77328.92,10.53,22735.23,240.13,55,32,13
2022-01-15,Instagram Ads,4.19,27220,270,3106,172,6117.61,12.5,1811.14,237.78,41,35,24
2022-01-15,Twitter Ads,2.22,426001,8632,2036,1898,15663.27,12.63,7305.98,114.39,61,27,12
2022-01-15,LinkedIn Ads,1.24,328740,6569,3676,1623,80041.32,9.65,32240.54,148.26,66,22,12
2022-01-15,TikTok Ads,3.57,450742,2166,4117,411,19810.68,9.29,27155.95,-27.05,55,42,3
2022-01-16,Google Ads,3.27,379517,9859,3101,690,65944.98,6.0,7687.84,757.78,49,35,16
2022-01-16,Facebook Ads,4.81,114465,4576,1194,2910,33962.1,10.9,18349.09,85.09,58,32,10
2022-01-16,Instagram Ads,2.98,473612,6514,376,2378,1949.35,9.05,41207.79,-95.27,41,22,37
2022-01-16,Twitter Ads,1.64,340862,2083,2390,2091,33920.01,14.97,4214.65,704.81,47,33,20
2022-01-16,LinkedIn Ads,3.71,423390,3045,3904,2404,79734.78,9.14,21032.37,279.11,63,42,-5
2022-01-16,TikTok Ads,2.63,369157,2271,2299,2926,49043.24,14.14,24064.23,103.8,40,37,23
2022-01-17,Google Ads,2.5,323184,179,1319,901,79180.56,4.63,17649.65,348.62,54,37,9
2022-01-17,Facebook Ads,2.32,149170,9817,4020,248,83842.77,10.13,21073.37,297.86,50,29,21
2022-01-17,Instagram Ads,3.42,377109,9629,3626,2710,40916.7,13.96,7322.34,458.79,55,32,13
2022-01-17,Twitter Ads,0.88,253594,2742,2257,1611,32001.64,3.74,15404.77,107.74,42,33,25
2022-01-17,LinkedIn Ads,4.58,348225,1228,2315,113,5374.95,12.5,49550.7,-89.15,66,25,9
2022-01-17,TikTok Ads,2.9,457057,7692,4026,2519,41126.36,9.4,42301.61,-2.78,55,39,6
2022-01-18,Google Ads,2.27,270246,7314,2750,2936,86288.1,1.1,44126.13,95.55,42,20,38
2022-01-18,Facebook Ads,0.6,243573,1132,3197,731,49822.47,6.06,38332.66,29.97,44,36,20
2022-01-18,Instagram Ads,4.76,43695,6435,4825,96,66419.48,6.13,32144.96,106.62,64,37,-1
2022-01-18,Twitter Ads,0.7,272061,5234,3903,2104,89021.28,5.35,4828.7,1743.59,45,46,9
2022-01-18,LinkedIn Ads,1.44,316706,7776,1253,2455,71707.79,13.46,12232.26,486.22,46,26,28
2022-01-18,TikTok Ads,4.97,282996,8492,4767,574,10288.75,1.0,5958.17,72.68,68,30,2
2022-01-19,Google Ads,4.95,29797,6253,3127,1148,86259.6,14.06,35668.73,141.84,40,48,12
2022-01-19,Facebook Ads,2.91,122880,2440,4056,2465,28376.56,2.21,31488.43,-9.88,64,23,13
2022-01-19,Instagram Ads,4.25,103714,297,270,2199,13865.35,4.44,8675.37,59.82,43,48,9
2022-01-19,Twitter Ads,3.74,105036,1026,2823,156,46604.73,6.59,29122.7,60.03,51,27,22
2022-01-19,LinkedIn Ads,0.8,258818,7078,1442,672,47305.27,2.36,28118.33,68.24,55,26,19
2022-01-19,TikTok Ads,1.42,35050,3488,3249,1660,14322.3,13.08,31958.33,-55.18,60,20,20
2022-01-20,Google Ads,1.99,363282,9246,3595,1370,49384.78,4.14,16840.78,193.25,47,46,7
2022-01-20,Facebook Ads,2.23,481966,746,379,318,14710.79,5.98,48331.58,-69.56,53,21,26
2022-01-20,Instagram Ads,3.21,296754,9572,4622,2860,68544.35,9.76,34768.57,97.14,43,36,21
2022-01-20,Twitter Ads,4.61,307725,7892,2682,2219,20354.2,12.67,10981.35,85.35,51,25,24
2022-01-20,LinkedIn Ads,1.5,369073,6782,1128,1500,21155.64,4.01,3850.61,449.41,40,42,18
2022-01-20,TikTok Ads,1.54,195958,4545,522,1256,18381.14,12.52,16354.04,12.4,63,36,1
2022-01-21,Google Ads,2.75,152314,1513,1946,2188,76032.64,5.57,17271.18,340.23,40,47,13
2022-01-21,Facebook Ads,2.73,447073,7631,677,2773,85983.58,4.38,45214.68,90.17,48,23,29
2022-01-21,Instagram Ads,4.97,103279,9129,1038,2709,80314.32,2.55,46757.14,71.77,55,44,1
2022-01-21,Twitter Ads,0.52,484478,6256,3134,527,27919.99,5.4,48913.03,-42.92,47,29,24
2022-01-21,LinkedIn Ads,2.29,126647,8885,2961,2315,48686.48,13.01,33479.72,45.42,60,35,5
2022-01-21,TikTok Ads,2.27,289247,9107,1056,2289,21443.93,10.33,17883.61,19.91,42,47,11
2022-01-22,Google Ads,4.09,235753,8498,3885,1443,92102.52,9.63,5059.11,1720.53,59,28,13
2022-01-22,Facebook Ads,4.62,311552,7602,1811,1272,90932.93,11.84,40042.81,127.09,49,20,31
2022-01-22,Instagram Ads,4.5,246917,5191,2530,2669,40153.36,10.63,17550.5,128.79,47,22,31
2022-01-22,Twitter Ads,2.9,223719,7693,1828,2069,85667.98,12.47,32513.49,163.48,65,42,-7
2022-01-22,LinkedIn Ads,4.05,51712,9594,2235,2962,85009.96,6.91,4851.22,1652.34,42,25,33
2022-01-22,TikTok Ads,1.63,55923,5205,4185,1228,10280.13,10.7,27343.05,-62.4,41,40,19
2022-01-23,Google Ads,0.65,120431,2832,1647,2252,69154.85,13.71,35412.68,95.28,51,20,29
2022-01-23,Facebook Ads,0.97,83496,8257,3043,2718,50766.75,8.61,10250.92,395.24,40,44,16
2022-01-23,Instagram Ads,3.94,464688,9050,4128,536,97304.84,7.45,10352.09,839.95,68,22,10
2022-01-23,Twitter Ads,1.63,17950,1742,4341,803,19540.85,5.87,6247.5,212.78,42,21,37
2022-01-23,LinkedIn Ads,3.54,438232,8964,3174,2680,83963.22,12.64,18775.98,347.18,56,26,18
2022-01-23,TikTok Ads,4.81,339533,9972,2105,81,97107.44,8.54,14007.82,593.24,49,32,19
2022-01-24,Google Ads,2.06,350935,6201,4844,2869,98937.61,14.42,28060.81,252.58,43,39,18
2022-01-24,Facebook Ads,4.98,189260,3584,4157,259,52007.98,11.89,36785.33,41.38,42,24,34
2022-01-24,Instagram Ads,3.9,360856,1664,3356,2979,13731.77,9.42,29737.43,-53.82,63,33,4
2022-01-24,Twitter Ads,4.11,235682,5616,1051,2653,40803.79,8.06,29474.23,38.44,56,38,6
2022-01-24,LinkedIn Ads,1.6,433024,3968,1821,2715,22545.15,14.57,46643.8,-51.67,62,25,13
2022-01-24,TikTok Ads,4.81,252225,3727,1145,339,71487.69,12.07,25425.46,181.17,46,42,12
2022-01-25,Google Ads,4.94,470489,6369,1600,948,82487.22,9.87,22962.17,259.23,67,29,4
2022-01-25,Facebook Ads,2.14,254360,9643,612,2705,59355.23,6.35,45894.12,29.33,62,37,1
2022-01-25,Instagram Ads,3.85,373939,1228,2967,245,73346.86,8.02,34383.67,113.32,50,49,1
2022-01-25,Twitter Ads,0.7,116376,6299,109,204,18805.91,3.34,14029.52,34.05,52,28,20
2022-01-25,LinkedIn Ads,2.0,204022,5605,3036,1808,98213.71,13.15,915.95,10622.61,66,30,4
2022-01-25,TikTok Ads,1.07,304621,9399,2720,611,50890.27,9.55,15954.62,218.97,64,45,-9
2022-01-26,Google Ads,4.77,196583,2976,4701,2387,76465.83,11.39,35061.32,118.09,52,23,25
2022-01-26,Facebook Ads,4.83,81145,8246,1136,1630,47109.77,10.02,33110.82,42.28,42,45,13
2022-01-26,Instagram Ads,2.53,234718,8311,4934,2550,57737.91,9.11,18920.0,205.17,45,36,19
2022-01-26,Twitter Ads,4.0,344582,3196,3419,497,52486.85,10.69,14419.11,264.01,61,32,7
2022-01-26,LinkedIn Ads,4.62,38833,8764,451,315,97730.56,9.09,2256.56,4230.95,56,43,1
2022-01-26,TikTok Ads,0.78,394314,8406,1441,639,48436.78,3.89,7473.4,548.12,63,42,-5
2022-01-27,Google Ads,3.74,361070,1453,507,2215,73022.47,5.55,39290.25,85.85,47,31,22
2022-01-27,Facebook Ads,0.52,346817,2656,1641,1570,22553.37,6.96,24006.28,-6.05,50,48,2
2022-01-27,Instagram Ads,3.38,305686,4605,4579,30,97394.56,3.69,5664.65,1619.34,59,28,13
2022-01-27,Twitter Ads,3.88,413738,5223,3666,1811,13551.15,13.82,36026.06,-62.39,43,33,24
2022-01-27,LinkedIn Ads,0.64,297468,8435,2366,2678,14179.77,4.95,36009.29,-60.62,42,32,26
2022-01-27,TikTok Ads,1.58,498145,1310,3152,2155,45627.92,12.93,43575.18,4.71,60,49,-9
2022-01-28,Google Ads,3.55,238365,5656,1492,779,94316.12,2.73,44367.42,112.58,59,30,11
2022-01-28,Facebook Ads,4.01,449102,135,4722,1560,93968.52,5.28,11342.63,728.45,55,46,-1
2022-01-28,Instagram Ads,2.06,311339,1019,2051,1245,16433.89,1.92,18705.22,-12.14,65,49,-14
2022-01-28,Twitter Ads,4.42,14182,3830,4359,1744,81947.65,0.91,35335.48,131.91,50,27,23
2022-01-28,LinkedIn Ads,4.79,415416,4945,1211,2294,33530.59,1.14,41839.47,-19.86,40,30,30
2022-01-28,TikTok Ads,1.51,224167,3808,671,2858,4333.52,1.05,37392.17,-88.41,62,21,17
2022-01-29,Google Ads,3.28,312015,5431,1490,1321,92025.37,4.53,41792.87,120.19,46,33,21
2022-01-29,Facebook Ads,3.07,214573,5143,405,918,23421.76,4.79,36640.44,-36.08,51,34,15
2022-01-29,Instagram Ads,1.1,134811,3326,4952,2358,93681.14,9.13,44271.05,111.61,41,30,29
2022-01-29,Twitter Ads,1.3,459450,1892,1604,1427,27607.85,3.7,6344.0,335.18,50,47,3
2022-01-29,LinkedIn Ads,1.94,488552,1189,1292,1251,79257.07,1.57,44928.25,76.41,61,31,8
2022-01-29,TikTok Ads,0.87,222942,2036,904,904,87126.63,1.73,12211.54,613.48,64,49,-13
2022-01-30,Google Ads,3.89,20465,4755,4551,2614,78062.8,10.83,21745.98,258.98,44,37,19
2022-01-30,Facebook Ads,3.33,280570,8749,1026,669,59102.05,8.58,11440.43,416.61,48,20,32
2022-01-30,Instagram Ads,0.6,315450,7423,901,437,70870.96,2.79,31816.4,122.75,62,34,4
2022-01-30,Twitter Ads,2.61,198384,4593,1307,2849,88248.04,11.85,38443.74,129.55,45,49,6
2022-01-30,LinkedIn Ads,4.79,265963,1047,1592,899,64141.54,8.66,33252.27,92.89,44,48,8
2022-01-30,TikTok Ads,3.08,229265,8251,1225,1280,40480.22,8.63,15054.33,168.89,50,49,1
2022-01-31,Google Ads,3.84,233805,1562,4435,796,45705.5,10.88,30897.82,47.92,44,32,24
2022-01-31,Facebook Ads,4.56,268375,6082,4973,303,30142.0,11.15,33222.89,-9.27,59,20,21
2022-01-31,Instagram Ads,2.74,75485,6208,1337,1730,79110.03,9.0,20056.88,294.43,63,34,3
2022-01-31,Twitter Ads,3.41,204730,1048,2648,220,31444.64,3.6,35398.73,-11.17,65,39,-4
2022-01-31,LinkedIn Ads,3.57,21907,8630,3840,2951,56280.95,5.81,32453.51,73.42,66,36,-2
2022-01-31,TikTok Ads,0.98,28046,5798,922,849,37272.4,1.26,42167.15,-11.61,44,44,12
2022-02-01,Google Ads,0.55,31348,7173,3467,666,93251.09,8.17,13122.13,610.64,62,30,8
2022-02-01,Facebook Ads,3.39,369248,2854,2483,590,81496.09,3.29,32892.58,147.76,54,43,3
2022-02-01,Instagram Ads,3.71,204158,4312,3921,2446,5934.53,0.82,46129.78,-87.14,67,40,-7
2022-02-01,Twitter Ads,3.78,65207,1023,1153,2236,91554.91,5.84,28187.82,224.8,44,47,9
2022-02-01,LinkedIn Ads,0.78,57578,847,4563,80,89213.4,9.69,10703.87,733.47,49,38,13
2022-02-01,TikTok Ads,3.63,153279,7214,3230,2793,16495.67,9.97,43648.32,-62.21,58,35,7
2022-02-02,Google Ads,4.86,343032,2027,1036,1557,80090.47,11.96,25467.94,214.48,58,24,18
2022-02-02,Facebook Ads,4.17,467643,9597,3048,104,72388.5,4.43,28925.68,150.26,45,28,27
2022-02-02,Instagram Ads,0.78,371491,6807,2521,1925,20788.6,2.22,18323.96,13.45,48,43,9
2022-02-02,Twitter Ads,3.8,482031,2981,1417,1092,87313.32,9.37,6490.21,1245.31,42,25,33
2022-02-02,LinkedIn Ads,0.6,258576,3544,569,115,94713.29,3.13,44435.26,113.15,51,21,28
2022-02-02,TikTok Ads,4.18,267229,4456,1034,1946,10792.88,3.12,11503.54,-6.18,56,34,10
2022-02-03,Google Ads,1.83,89471,2267,4956,445,91988.47,11.86,10362.99,787.66,49,37,14
2022-02-03,Facebook Ads,1.76,116736,4603,1323,167,35096.16,10.26,11522.26,204.59,63,43,-6
2022-02-03,Instagram Ads,4.43,373692,4599,2391,2849,26163.77,8.91,8622.04,203.45,48,32,20
2022-02-03,Twitter Ads,2.91,29145,3254,663,985,89148.8,14.15,20467.17,335.57,68,34,-2
2022-02-03,LinkedIn Ads,4.23,208905,8112,226,1685,52453.43,8.98,38633.34,35.77,62,35,3
2022-02-03,TikTok Ads,3.76,279532,7975,3041,380,85414.97,13.68,49583.42,72.27,57,48,-5
2022-02-04,Google Ads,2.37,330400,4163,168,2336,74889.24,5.16,19416.66,285.7,50,22,28
2022-02-04,Facebook Ads,4.37,57629,8603,1479,797,60448.93,7.46,18618.73,224.67,67,39,-6
2022-02-04,Instagram Ads,4.54,339363,1550,1804,644,4349.01,14.89,5855.66,-25.73,50,47,3
2022-02-04,Twitter Ads,0.57,200041,4811,2118,2098,63225.02,7.74,42705.76,48.05,42,23,35
2022-02-04,LinkedIn Ads,2.57,120628,632,3044,939,34378.5,4.18,8863.93,287.85,64,37,-1
2022-02-04,TikTok Ads,2.02,115133,8561,4804,2661,19875.31,11.01,36029.65,-44.84,68,26,6
2022-02-05,Google Ads,3.21,237103,4018,1174,2412,5156.88,7.98,13041.21,-60.46,51,34,15
2022-02-05,Facebook Ads,1.36,449388,7328,54,1007,96890.98,4.09,44522.21,117.62,51,41,8
2022-02-05,Instagram Ads,2.68,394384,3056,4918,865,30279.71,3.0,14284.27,111.98,52,39,9
2022-02-05,Twitter Ads,0.64,408347,6154,377,1551,9991.34,4.32,30954.95,-67.72,52,21,27
2022-02-05,LinkedIn Ads,4.87,205205,2290,3030,2914,6423.4,6.73,32925.33,-80.49,65,29,6
2022-02-05,TikTok Ads,2.75,306849,3184,2923,2338,39837.64,12.92,36599.68,8.85,48,38,14
2022-02-06,Google Ads,2.36,201908,7859,840,782,34403.92,4.11,17450.85,97.15,48,46,6
2022-02-06,Facebook Ads,0.93,23294,9917,3634,1631,63684.19,12.63,41259.97,54.35,63,31,6
2022-02-06,Instagram Ads,2.63,36919,5811,2550,1203,35729.65,12.27,20173.06,77.12,69,32,-1
2022-02-06,Twitter Ads,3.93,420162,5691,4688,2878,80053.5,1.04,43858.97,82.52,56,41,3
2022-02-06,LinkedIn Ads,2.12,471006,1257,52,2567,86407.6,13.33,40119.89,115.37,41,36,23
2022-02-06,TikTok Ads,3.36,173043,2400,1554,1792,24135.93,5.93,48380.15,-50.11,55,30,15
2022-02-07,Google Ads,2.62,71807,2167,2180,518,76003.84,6.21,26517.66,186.62,50,46,4
2022-02-07,Facebook Ads,1.71,72782,2334,2887,2233,76372.35,10.21,16521.05,362.27,69,45,-14
2022-02-07,Instagram Ads,2.14,48173,4490,4012,1986,60854.41,6.68,42156.99,44.35,58,24,18
2022-02-07,Twitter Ads,3.53,336432,7562,2308,2351,7096.87,1.24,39218.67,-81.9,58,27,15
2022-02-07,LinkedIn Ads,1.56,7808,2570,1986,32,98921.64,11.28,21731.51,355.2,57,31,12
2022-02-07,TikTok Ads,4.14,24929,4440,4053,1442,7698.1,3.68,28519.82,-73.01,64,45,-9
2022-02-08,Google Ads,0.7,388760,481,1240,2064,64583.9,9.6,6483.37,896.15,59,21,20
2022-02-08,Facebook Ads,0.66,90224,8782,315,962,34740.35,8.74,13984.83,148.41,59,49,-8
2022-02-08,Instagram Ads,1.69,238434,9880,1032,2110,36725.79,1.33,27952.52,31.39,43,27,30
2022-02-08,Twitter Ads,3.49,332655,2130,1366,2570,80227.83,11.23,18291.91,338.6,68,20,12
2022-02-08,LinkedIn Ads,2.5,325078,1500,4764,1568,75014.23,5.76,2023.21,3607.68,52,22,26
2022-02-08,TikTok Ads,0.55,117226,4698,2824,1775,76615.78,2.55,29401.76,160.58,40,38,22
2022-02-09,Google Ads,2.21,212468,8970,710,2030,56867.33,10.39,23586.41,141.1,48,43,9
2022-02-09,Facebook Ads,0.55,172898,3043,611,1904,67533.54,12.31,44599.43,51.42,67,31,2
2022-02-09,Instagram Ads,0.92,326047,7562,2081,626,46787.53,11.58,37863.96,23.57,69,29,2
2022-02-09,Twitter Ads,3.93,182322,2408,4951,291,99971.95,7.22,18963.54,427.18,55,43,2
2022-02-09,LinkedIn Ads,3.79,22097,1239,196,1256,3281.46,3.44,28750.91,-88.59,60,48,-8
2022-02-09,TikTok Ads,3.71,69480,4380,289,863,26040.3,10.09,14171.21,83.75,54,47,-1
2022-02-10,Google Ads,1.79,112086,5192,3263,1415,59437.49,6.42,17989.56,230.4,54,42,4
2022-02-10,Facebook Ads,1.61,197892,6921,3959,469,44123.87,8.48,22920.15,92.51,46,44,10
2022-02-10,Instagram Ads,4.31,78424,4601,253,49,16002.39,2.48,49811.82,-67.87,49,29,22
2022-02-10,Twitter Ads,0.75,243277,945,1452,2584,97334.69,8.67,40274.8,141.68,44,36,20
2022-02-10,LinkedIn Ads,2.36,152250,1582,1526,67,71805.53,4.36,30404.39,136.17,56,45,-1
2022-02-10,TikTok Ads,4.11,254024,161,3482,342,50385.54,6.06,19380.29,159.98,67,47,-14
2022-02-11,Google Ads,1.09,123293,5415,4495,2352,86357.92,7.42,7871.58,997.08,51,39,10
2022-02-11,Facebook Ads,0.8,456165,9758,1399,2033,58977.67,14.39,41525.78,42.03,68,32,0
2022-02-11,Instagram Ads,4.18,6436,9426,205,1626,81706.16,14.35,3810.89,2044.02,57,20,23
2022-02-11,Twitter Ads,1.93,86418,3497,2582,1867,58788.07,1.99,31443.46,86.96,54,46,0
2022-02-11,LinkedIn Ads,1.44,53835,2179,4808,2543,85472.43,5.88,13106.01,552.16,56,27,17
